"Name","Team","Bye Week","Rank","$","Points","Risk","Tier","Outlook","Dynasty","Markers"
"Cooper Kupp","LAR","7","1","$55","303.2","1.0","1","Cooper Kupp’s 2021 season was a revelation, finishing as the overall WR1 by a landslide in what was one of the best fantasy WR seasons we’ve ever seen. He scored 67 more fantasy points last season than the WR2, Deebo Samuel. Prior to 2021, Kupp’s previous career-high in targets was 134. After seeing a league-leading 191 a season ago, it’s possible the target volume regresses just a little bit, especially with Allen Robinson now on the roster. Even so, his chemistry with Matthew Stafford and involvement around the goal line make Kupp a no-brainer pick in Round 1 of fantasy drafts.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Justin Jefferson","MIN","7","2","$55","301.5","1.0","1","Justin Jefferson will look to lead Minnesota’s passing attack yet again in 2022 after logging a 29% target share a season ago. With Adam Thielen another year older, it’s possible he separates even more as the Vikings’ WR1 in 2022. He’s on the short list of guys who could finish the year as the WR1 in fantasy.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Ja'Marr Chase","CIN","10","3","$34","253.1","2.7","2","Talk about the best rookie WR season ever! That’s what Ja’Marr Chase did in 2021, so the arrow is definitely pointing up for this young talent especially when you consider not much has changed in Cincinnati compared to last year. Chase made his money on deep targets last season leading the NFL in 20+ yard targets a season ago while catching eight TDs on those deep targets, the most in football. It’s possible that efficiency regresses in 2022, but there’s plenty of room for Chase to take a step forward in the target department after seeing just 128 as a rookie. It’s scary to think what Chase could do with 140+ targets in year two…","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Davante Adams","LV","6","4","$34","251.9","2.5","2","For the first time in his career, Davante Adams won’t be catching passes from Aaron Rodgers. Adams joins a Raiders depth chart that includes Darren Waller and Hunter Renfrow, so the projectable 30+% target share may not be as secure as it was in years past, but Adams is still one of the NFL’s premier red zone targets, giving up double-digit TD upside every season. He’s logged 10+ TD in four of the last five years. The only time he didn’t? 2019 when he played just 12 games.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Stefon Diggs","BUF","7","5","$35","251.5","2.0","2","It didn’t feel like it, but Diggs still finished as the WR7 a year ago despite catching 24 fewer passes for 310 fewer yards than he did in 2020. Diggs made up for the reduced PPR volume with 10 TD, a career high. After seeing a 27% target share a season ago and 165+ targets in each of his first two years in Buffalo, he’s a safe bet in fantasy who has the ceiling to finish as a top 5 option with Josh Allen under center.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"CeeDee Lamb","DAL","9","6","$24","225.6","5.3","2","CeeDee Lamb explosion coming in 2022? With Amari Cooper now in Cleveland and Michael Gallup recovering from a late-season torn ACL, the target competition for Lamb is virtually non-existent. Dallas lost 181 WR targets from a season ago, the 7th most in the league. Look for Lamb to be a volume monster with Dak this year on an offense that led the NFL in scoring a year ago.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mike Evans","TB","11","7","$26","225.0","2.2","2","Doesn’t it just feel automatic at this point? Mike Evans has been the staple of consistency throughout his career, and with Tom Brady back under center for one final ride (we think), Evans should continue to be a top 12 fantasy WR with plenty of top-5 weeks thanks to his TD upside. The Bucs were extremely pass-heavy in the red zone in each of the last two years with TB12, giving Evans as good a shot as any WR to finish with 10+ TD yet again this season.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Deebo Samuel","SF","9","8","$25","224.9","3.5","2","Samuel’s 2021 season was historically efficient as both a runner and a receiver. His 13.0 yards per touch ranked 3rd in the league last year, and he paced all WRs in yards after the catch per reception at an insane 10.8 clip. He also scored a rushing TD for every 10 carries, a mark that is simply unsustainable. If these numbers regress in any way, it’s possible Samuel is being drafted at his absolute ceiling, especially when you bake in the unknown QB play from Trey Lance. Even so, we know Kyle Shanahan will manufacture ways to get the ball in his best player's hands this year.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mike Williams","LAC","8","9","$22","215.8","4.2","2","For the first time in his career, Williams was no longer used only as a deep threat. Prior to 2021, his career aDOT was 15.4, but in this new look Chargers offense, his aDOT dropped to 12.0, which helped Williams set a career high in target share at 21%. Any WR that’s attached to one of the NFL’s best passers and offenses who has a chance to see 20+% of the targets and post double-digit TDs is certainly in play to finish as a top-12 fantasy WR as Williams did a season ago.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tyreek Hill","MIA","11","10","$20","209.0","3.3","3","Like some other superstar WRs, there is uncertainty surrounding Hill as he’ll be playing in his first season without Patrick Mahomes in 2022. Hill took on a new role in 2021 as a low aDOT type of guy, and it’s possible former 49ers OC and current Dolphins HC Mike McDaniel plans to utilize Hill in the same way as the team used Deebo Samuel a year ago. Look for Hill to get manufactured touches in this Dolphins offense, but unless Tua takes a step forward, it’s fair to question his upside compared to what we’ve seen in KC.","Unlock with the 2022 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
